2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.5.FARTCOINUSDT","data":[{"start":1755710100000,"end":1755710399999,"interval":"5","open":"0.9057","close":"0.9076","high":"0.9091","low":"0.9057","volume":"246236","turnover":"223451.2114","confirm":false,"timestamp":1755710205054}],"ts":1755710205054,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.1.OBOLUSDT","data":[{"start":1755710160000,"end":1755710219999,"interval":"1","open":"0.1181","close":"0.1182","high":"0.1182","low":"0.1181","volume":"1375","turnover":"162.525","confirm":false,"timestamp":1755710205058}],"ts":1755710205058,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.5.OBOLUSDT","data":[{"start":1755710100000,"end":1755710399999,"interval":"5","open":"0.1181","close":"0.1182","high":"0.1182","low":"0.1181","volume":"1375","turnover":"162.525","confirm":false,"timestamp":1755710205058}],"ts":1755710205058,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.15.OBOLUSDT","data":[{"start":1755710100000,"end":1755710999999,"interval":"15","open":"0.1181","close":"0.1182","high":"0.1182","low":"0.1181","volume":"1375","turnover":"162.525","confirm":false,"timestamp":1755710205059}],"ts":1755710205059,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.1.BRETTUSDT","data":[{"start":1755710160000,"end":1755710219999,"interval":"1","open":"0.05187","close":"0.05187","high":"0.05193","low":"0.05186","volume":"62170","turnover":"3226.0874","confirm":false,"timestamp":1755710205082}],"ts":1755710205082,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.5.BRETTUSDT","data":[{"start":1755710100000,"end":1755710399999,"interval":"5","open":"0.05171","close":"0.05187","high":"0.05193","low":"0.05171","volume":"286270","turnover":"14825.1543","confirm":false,"timestamp":1755710205082}],"ts":1755710205082,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.15.BRETTUSDT","data":[{"start":1755710100000,"end":1755710999999,"interval":"15","open":"0.05171","close":"0.05187","high":"0.05193","low":"0.05171","volume":"286270","turnover":"14825.1543","confirm":false,"timestamp":1755710205083}],"ts":1755710205083,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.1.ZBCNUSDT","data":[{"start":1755710160000,"end":1755710219999,"interval":"1","open":"0.004564","close":"0.0045975","high":"0.0045995","low":"0.0045535","volume":"3666100","turnover":"16787.96474","confirm":false,"timestamp":1755710205089}],"ts":1755710205089,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.5.VANAUSDT","data":[{"start":1755710100000,"end":1755710399999,"interval":"5","open":"4.102","close":"4.107","high":"4.107","low":"4.102","volume":"4.63","turnover":"19.01179","confirm":false,"timestamp":1755710205089}],"ts":1755710205089,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.15.ZBCNUSDT","data":[{"start":1755710100000,"end":1755710999999,"interval":"15","open":"0.0045644","close":"0.0045975","high":"0.0045995","low":"0.0045508","volume":"5097700","turnover":"23315.22685","confirm":false,"timestamp":1755710205089}],"ts":1755710205089,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.5.ZBCNUSDT","data":[{"start":1755710100000,"end":1755710399999,"interval":"5","open":"0.0045644","close":"0.0045975","high":"0.0045995","low":"0.0045508","volume":"5097700","turnover":"23315.22685","confirm":false,"timestamp":1755710205089}],"ts":1755710205089,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.1.VANAUSDT","data":[{"start":1755710160000,"end":1755710219999,"interval":"1","open":"4.105","close":"4.107","high":"4.107","low":"4.105","volume":"2.82","turnover":"11.58174","confirm":false,"timestamp":1755710205090}],"ts":1755710205090,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.15.VANAUSDT","data":[{"start":1755710100000,"end":1755710999999,"interval":"15","open":"4.102","close":"4.107","high":"4.107","low":"4.102","volume":"4.63","turnover":"19.01179","confirm":false,"timestamp":1755710205090}],"ts":1755710205090,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.1.POPCATUSDT","data":[{"start":1755710160000,"end":1755710219999,"interval":"1","open":"0.2816","close":"0.2816","high":"0.2819","low":"0.2815","volume":"17207","turnover":"4847.283","confirm":false,"timestamp":1755710205145}],"ts":1755710205145,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.5.POPCATUSDT","data":[{"start":1755710100000,"end":1755710399999,"interval":"5","open":"0.2811","close":"0.2816","high":"0.2819","low":"0.2811","volume":"85741","turnover":"24133.7525","confirm":false,"timestamp":1755710205146}],"ts":1755710205146,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.15.POPCATUSDT","data":[{"start":1755710100000,"end":1755710999999,"interval":"15","open":"0.2811","close":"0.2816","high":"0.2819","low":"0.2811","volume":"85741","turnover":"24133.7525","confirm":false,"timestamp":1755710205146}],"ts":1755710205146,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.15.AIOZUSDT","data":[{"start":1755710100000,"end":1755710999999,"interval":"15","open":"0.3678","close":"0.368","high":"0.3682","low":"0.3677","volume":"3430","turnover":"1262.5535","confirm":false,"timestamp":1755710205150}],"ts":1755710205150,"type":"snapshot"}
